ROW,SECTION,STIMULUS,QUESTION,OPTION1,OPTION2,OPTION3
1,1,1,age,15,0,0
2,1,1,friendly,6,9,0
3,1,1,educated,0,14.5,0.5
4,1,1,income,0,0,14
5,1,1,attractive,0,4,10
6,1,2,age,0,15,0
7,1,2,friendly,5,9,1
8,1,2,educated,13.5,1.5,0
9,1,2,income,9,4,1
10,1,2,attractive,8,7,0
11,1,3,age,0,2,13
12,1,3,friendly,2,11,2
13,1,3,educated,0,5,10
14,1,3,income,0,4,11
15,1,3,attractive,0,6,9
16,1,4,age,8,7,0
17,1,4,friendly,3,9,3
18,1,4,educated,0,4,11
19,1,4,income,0,3,12
20,1,4,attractive,0,5,10
21,1,5,age,2,11,2
22,1,5,friendly,7,8,0
23,1,5,educated,3,11,1
24,1,5,income,3,9,3
25,1,5,attractive,4,10,1
26,2,1,age,13,0,0
27,2,1,friendly,8,6,0
28,2,1,educated,1,11,1
29,2,1,income,0,1,12
30,2,1,attractive,0,7,6
31,2,2,age,5,8,0
32,2,2,friendly,4,9,0
33,2,2,educated,8,5,0
34,2,2,income,4,9,0
35,2,2,attractive,1,12,0
36,2,3,age,0,4,9
37,2,3,friendly,4,8,1
38,2,3,educated,0,9,4
39,2,3,income,1,5,7
40,2,3,attractive,0,3,11
41,2,4,age,4,9,0
42,2,4,friendly,2,11,0
43,2,4,educated,0,8,5
44,2,4,income,0,6,7
45,2,4,attractive,1,8,4
46,2,5,age,2,9,1
47,2,5,friendly,4,8,0
48,2,5,educated,3,8,1
49,2,5,income,4,7,1
50,2,5,attractive,1,10,1
